,TF,Term,Stem,wTF,SType,Score,wTFref
161,12,rewards,reward,0.006160164271047228,raw,6.578183307985724,8.564925345969454e-06
65,7,interpersonal,interperson,0.003593429158110883,raw,6.3268688797048185,6.42369400947709e-06
89,33,tactics,tactic,0.016940451745379878,raw,5.980346307230104,4.282462672984727e-05
25,4,behaviour,behaviour,0.002053388090349076,raw,5.767253091769396,6.42369400947709e-06
282,4,ultimatum,ultimatum,0.002053388090349076,raw,5.767253091769396,6.42369400947709e-06
283,7,recipient,recipi,0.003593429158110883,raw,5.479571019317615,1.4988619355446544e-05
93,6,inhibition,inhibit,0.003080082135523614,raw,5.479571019317615,1.284738801895418e-05
277,5,citation,citat,0.002566735112936345,raw,5.479571019317615,1.0706156682461817e-05
39,4,coercion,coercion,0.002053388090349076,raw,5.479571019317615,8.564925345969454e-06
243,4,milieu,milieu,0.002053388090349076,raw,5.479571019317615,8.564925345969454e-06
248,4,circuits,circuit,0.002053388090349076,raw,5.479571019317615,8.564925345969454e-06
264,4,rejecting,reject,0.002053388090349076,raw,5.479571019317615,8.564925345969454e-06
154,3,expertise,expertis,0.001540041067761807,raw,5.479571019317615,6.42369400947709e-06
195,3,disabling,disabl,0.001540041067761807,raw,5.479571019317615,6.42369400947709e-06
205,3,interactions,interact,0.001540041067761807,raw,5.479571019317615,6.42369400947709e-06
207,3,powerless,powerless,0.001540041067761807,raw,5.479571019317615,6.42369400947709e-06
262,3,instructive,instruct,0.001540041067761807,raw,5.479571019317615,6.42369400947709e-06
63,11,reward,reward,0.005646817248459959,raw,5.169416091013775,3.211847004738545e-05
0,245,power,power,0.1257700205338809,raw,5.146018492799737,0.0007323011170803882
88,7,abusive,abus,0.003593429158110883,stem,5.122896075378883,2.141231336492363e-05
291,4,reinforcement,reinforc,0.002053388090349076,stem,5.116665525628246,1.2312080184831089e-05
34,6,subordinates,subordin,0.003080082135523614,raw,5.07410591120945,1.927108202843127e-05
99,4,compliance,complianc,0.002053388090349076,raw,5.07410591120945,1.284738801895418e-05
215,7,outcomes,outcom,0.003593429158110883,raw,5.027585895574558,2.3553544701415998e-05
15,3,organizational,organiz,0.001540041067761807,raw,4.9687453955516245,1.0706156682461817e-05
245,4,relates,relat,0.002053388090349076,raw,4.78642383875767,1.7129850691938907e-05
280,3,negotiation,negoti,0.001540041067761807,raw,4.78642383875767,1.284738801895418e-05
183,31,powerful,power,0.01591375770020534,raw,4.770423497411229,0.00013489757419901888
148,8,abuse,abus,0.004106776180698152,raw,4.668640803101286,3.854216405686254e-05
251,4,episodic,episod,0.002053388090349076,stem,4.668640803101286,1.927108202843127e-05
12,3,environmental,environment,0.001540041067761807,raw,4.632273158930412,1.4988619355446544e-05
30,6,legitimate,legitim,0.003080082135523614,raw,4.498741766305889,3.4259701383877815e-05
259,3,obey,obey,0.001540041067761807,raw,4.498741766305889,1.7129850691938907e-05
69,4,framework,framework,0.002053388090349076,raw,4.467970107639135,2.3553544701415998e-05
67,9,rational,ration,0.004620123203285421,raw,4.457919771785633,5.353078341230908e-05
5,7,theories,theori,0.003593429158110883,raw,4.429748894818937,4.282462672984727e-05
80,8,categories,categori,0.004106776180698152,raw,4.380958730649505,5.138955207581672e-05
75,3,gene,gene,0.001540041067761807,raw,4.380958730649505,1.927108202843127e-05
173,3,obedience,obedi,0.001540041067761807,raw,4.380958730649505,1.927108202843127e-05
66,12,relationships,relationship,0.006160164271047228,raw,4.326891509379229,8.13667907867098e-05
147,10,leads,lead,0.00513347022587269,raw,4.28564855084518,7.066063410424798e-05
156,13,tend,tend,0.006673511293634497,raw,4.283320261085589,9.207294746917162e-05
286,3,abusers,abus,0.001540041067761807,stem,4.275598214991679,2.141231336492363e-05
288,3,abuser,abus,0.001540041067761807,stem,4.275598214991679,2.141231336492363e-05
177,6,punishment,punish,0.003080082135523614,raw,4.226808050822247,4.496585806633963e-05
